AB022679.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.4	GI.4
AB039774.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.5	GI.5
AB039775.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.12	GII.12
AB039777.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.6	GII.6
AB039778.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.6	GII.6
AB039780.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.8	GII.8
AB039782.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.3	GII.3
AB042808.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.4	GI.4
AB045603.2	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.12	GII.12
AB074893.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.11	GII.11
AB083780.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.22	GII.22
AB126320.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.11	GII.11
AB187514.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.3	GI.3
AB212306.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.5	GII.5
AB220921.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_Asia
AB220922.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_Asia
AB281090.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.2	GII.2
AB385626.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.3	GII.3
AB434770.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_Osaka
AB542915.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.21	GII.21
AB542917.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.20	GII.20
AF093797.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.6	GI.6
AF145709.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.3	GI.3
AF190817.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.3	GII.3
AF195848.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.8	GII.8
AF394960.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.4	GI.4
AF414406.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.5	GI.5
AF414409.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.7	GII.7
AF414410.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.6	GII.6
AF414418.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.1	GII.1
AF427118.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.10	GII.10
AF504671.2	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.10	GII.10
AF538679.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.8	GI.8
AJ004864.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_US95_96
AJ277606.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.1	GII.1
AJ277607.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.5	GII.5
AJ277608.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.7	GII.7
AJ277609.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.7	GI.7
AJ277610.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.2	GI.2
AJ277612.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.3	GI.3
AJ277614.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.5	GI.5
AJ277615.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.6	GI.6
AJ277616.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.4	GI.4
AJ277618.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.12	GII.12
AJ277620.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.6	GII.6
AJ277621.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.4	GI.4
AJ313030.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.4	GI.4
AJ844469.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GI	GI.7	GI.7
AY032605.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_Camberwell
AY038599.2	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.9	GII.9
AY113106.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.13	GII.13
AY130761.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.14	GII.14
AY134748.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.2	GII.2
AY502006.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.16	GII.16
AY502009.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.17	GII.17
AY502010.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.16	GII.16
AY502023.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_Farmington Hills
AY675554.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.21	GII.21
AY823303.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.11	GII.11
AY823304.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.18	GII.18
AY823306.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.19	GII.19
AY823307.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.19	GII.19
AY883096.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.4	GII.4_Hunter
DQ379714.1	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	GII	GII.13	GII.13
